Chr	Start	Stop	M_CA-TAC245-TAC245_MEC.prod-refalign	M_CA-TAC265-TAC265_MEC.prod-refalign
1	52176281	52176282	16	30
1	52176282	52176283	16	30
1	52176283	52176284	16	32
1	52176284	52176285	16	33
1	52176285	52176286	15	34
1	52176286	52176287	15	31
1	52176287	52176288	16	33
1	52176288	52176289	18	33
1	52176289	52176290	18	33
1	52176290	52176291	18	33
1	52176291	52176292	18	33
1	52176292	52176293	18	34
1	52176293	52176294	19	34
1	52176294	52176295	19	34
1	52176295	52176296	19	36
1	52176296	52176297	20	36
1	52176297	52176298	20	36
1	52176298	52176299	20	37
1	52176299	52176300	20	37
1	52176300	52176301	21	36
1	52176301	52176302	21	36
1	52176302	52176303	21	36
1	52176303	52176304	21	37
1	52176304	52176305	21	38
1	52176305	52176306	20	37
1	52176306	52176307	20	38
1	52176307	52176308	20	38
1	52176308	52176309	19	39
1	52176309	52176310	19	35
1	52176310	52176311	19	36
1	52176311	52176312	19	36
1	52176312	52176313	19	36
1	52176313	52176314	19	36
1	52176314	52176315	19	36
1	52176315	52176316	19	37
1	52176316	52176317	19	38
1	52176317	52176318	19	38
1	52176318	52176319	19	37
1	52176319	52176320	19	38
1	52176320	52176321	17	38
1	52176321	52176322	17	39
1	52176322	52176323	17	39
1	52176323	52176324	17	39
1	52176324	52176325	17	39
1	52176325	52176326	17	40
1	52176326	52176327	17	40
1	52176327	52176328	17	40
1	52176328	52176329	17	40
1	52176329	52176330	17	40
1	52176330	52176331	17	40
1	52176331	52176332	17	40
1	52176332	52176333	17	40
1	52176333	52176334	17	40
1	52176334	52176335	17	40
1	52176335	52176336	17	40
1	52176336	52176337	17	40
1	52176337	52176338	17	40
1	52176338	52176339	18	40
1	52176339	52176340	18	40
1	52176340	52176341	18	40
1	52176341	52176342	18	40
1	52176342	52176343	18	40
1	52176343	52176344	18	39
1	52176344	52176345	18	38
1	52176345	52176346	18	39
1	52176346	52176347	18	40
1	52176347	52176348	18	40
1	52176348	52176349	17	39
1	52176349	52176350	17	39
1	52176350	52176351	17	39
1	52176351	52176352	17	38
1	52176352	52176353	17	39
1	52176353	52176354	17	38
1	52176354	52176355	13	39
1	52176355	52176356	15	40
1	52176356	52176357	15	39
1	52176357	52176358	15	39
1	52176358	52176359	15	39
1	52176359	52176360	16	39
1	52176360	52176361	16	39
1	52176361	52176362	15	39
1	52176362	52176363	15	39
1	52176363	52176364	15	39
1	52176364	52176365	15	38
1	52176365	52176366	15	38
1	52176366	52176367	15	38
1	52176367	52176368	15	38
1	52176368	52176369	15	37
1	52176369	52176370	15	36
1	52176370	52176371	15	35
1	52176371	52176372	15	35
1	52176372	52176373	15	35
1	52176373	52176374	15	35
1	52176374	52176375	15	35
1	52176375	52176376	15	34
1	52176376	52176377	14	34
1	52176377	52176378	14	34
1	52176378	52176379	15	34
1	52176379	52176380	15	35
1	52176380	52176381	15	35
1	52176381	52176382	15	35
1	52176382	52176383	15	36
1	52176383	52176384	15	35
1	52176384	52176385	15	33
1	52176385	52176386	15	33
1	52176386	52176387	16	32
1	52176387	52176388	16	31
1	52176388	52176389	16	32
1	52176389	52176390	16	32
1	52176390	52176391	16	32
1	52176391	52176392	16	32
1	52176392	52176393	16	32
1	52176393	52176394	16	32
1	52176394	52176395	16	32
1	52176395	52176396	16	31
1	52176396	52176397	15	31
1	52176397	52176398	15	30
1	52176398	52176399	16	30
1	52176399	52176400	18	31
1	52176400	52176401	17	30
1	52176401	52176402	17	30
1	52176402	52176403	17	30
1	52176403	52176404	17	28
1	52176404	52176405	17	29
1	52176405	52176406	18	29
1	52176406	52176407	18	29
1	52176407	52176408	18	28
1	52176408	52176409	18	27
1	52176409	52176410	18	27
1	52176410	52176411	18	26
1	52176411	52176412	18	26
1	52176412	52176413	18	27
1	52176413	52176414	18	28
1	52176414	52176415	18	29
1	52176415	52176416	18	27
1	52176416	52176417	18	27
